juez;trat;color
1;1;5
2;1;3
3;1;2
4;1;4
5;1;3
6;1;2
7;1;5
8;1;4
9;1;1
10;1;3
1;2;3
2;2;2
3;2;3
4;2;4
5;2;2
6;2;4
7;2;3
8;2;4
9;2;2
10;2;1
1;3;2
2;3;2
3;3;1
4;3;2
5;3;1
6;3;2
7;3;1
8;3;3
9;3;3
10;3;1
1;4;6
2;4;5
3;4;5
4;4;6
5;4;4
6;4;5
7;4;5
8;4;6
9;4;6
10;4;6
